Temp (c), Acc
(-101)	(-2.94, -3.44, 8.46)	(-47.75, -5.75, -13.5625)	(-0.01090830782496456, 0.002181661564992912, -0.00545415391248228)	(0.0, -18.0, 22.3125)	(0.96942138671875, -0.186279296875, 0.1597900390625, 0.0)	(-0.03, 0.03, -0.03)	(-3.0300000000000002, -3.54, 8.620000000000001)	(1693384264.5118284)
(-101)	(-3.04, -3.5100000000000002, 8.58)	(-48.1875, -5.75, -14.375)	(0.01090830782496456, -0.02945243112740431, 0.01090830782496456)	(359.9375, -18.0, 22.25)	(0.96942138671875, -0.18621826171875, 0.15972900390625, 6.103515625e-05)	(0.05, 0.04, -0.09)	(-3.0300000000000002, -3.54, 8.620000000000001)	(1693384264.539657)
(-101)	(-2.94, -3.45, 8.48)	(-48.1875, -5.75, -14.375)	(0.006544984694978736, -0.001090830782496456, 0.01090830782496456)	(359.9375, -18.0, 22.25)	(0.969482421875, -0.18609619140625, 0.15972900390625, 0.0)	(0.03, 0.04, -0.12)	(-3.0300000000000002, -3.5300000000000002, 8.620000000000001)	(1693384264.5658393)
(27)	(-3.0, -3.49, 8.49)	(-29.75, -3.5, -9.1875)	(0.004363323129985824, 0.002181661564992912, 0.01090830782496456)	(359.9375, -18.0, 22.25)	(0.969482421875, -0.18597412109375, 0.15960693359375, -6.103515625e-05)	(0.0, 0.02, -0.11)	(-3.0300000000000002, -3.5300000000000002, 8.620000000000001)	(1693384264.5941207)
(-101)	(-2.99, -3.5, 8.51)	(-29.75, -3.5, -9.1875)	(-0.013089969389957472, 0.004363323129985824, 0.002181661564992912)	(0.0, -18.0, 22.25)	(0.969482421875, -0.18603515625, 0.15960693359375, 0.0)	(0.01, 0.03, -0.08)	(-3.0300000000000002, -3.5300000000000002, 8.620000000000001)	(1693384264.6215558)
(-101)	(-3.0300000000000002, -3.5, 8.540000000000001)	(-29.0, -3.1875, -9.1875)	(-0.016362461737446838, -0.003272492347489368, 0.016362461737446838)	(359.9375, -18.0, 22.25)	(0.969482421875, -0.18621826171875, 0.15960693359375, 6.103515625e-05)	(0.03, 0.05, -0.13)	(-3.0300000000000002, -3.54, 8.620000000000001)	(1693384264.6492894)
(-101)	(-2.95, -3.49, 8.5)	(-29.0, -3.1875, -9.1875)	(0.002181661564992912, 0.016362461737446838, -0.002181661564992912)	(359.9375, -18.0, 22.3125)	(0.96942138671875, -0.18621826171875, 0.15972900390625, 6.103515625e-05)	(0.02, 0.05, -0.1)	(-3.0300000000000002, -3.54, 8.620000000000001)	(1693384264.6722329)
(-101)	(-3.02, -3.5, 8.55)	(-29.0, -3.875, -8.375)	(0.004363323129985824, 0.001090830782496456, 0.002181661564992912)	(359.9375, -18.0, 22.3125)	(0.96942138671875, -0.18621826171875, 0.15972900390625, 6.103515625e-05)	(0.01, 0.03, -0.05)	(-3.0300000000000002, -3.54, 8.620000000000001)	(1693384264.6990764)
(-101)	(-3.02, -3.5, 8.53)	(-29.0, -3.875, -8.375)	(0.002181661564992912, 0.01090830782496456, -0.00545415391248228)	(359.9375, -18.0, 22.3125)	(0.96942138671875, -0.18621826171875, 0.15985107421875, 6.103515625e-05)	(0.03, 0.04, -0.06)	(-3.04, -3.54, 8.620000000000001)	(1693384264.7233114)
(-101)	(-3.0, -3.5100000000000002, 8.57)	(-29.0, -3.1875, -8.0)	(-0.011999138607461015, 0.00545415391248228, 0.004363323129985824)	(359.9375, -18.0, 22.3125)	(0.96942138671875, -0.186279296875, 0.159912109375, 6.103515625e-05)	(0.05, 0.06, -0.1)	(-3.04, -3.54, 8.620000000000001)	(1693384264.7506669)
